Claim_ID,Policy_ID,Claim_Date,Claim_Severity,Claim_Amount
CLM10000,PID10012,2026-06-25,Minor,29380.8
CLM10001,PID10015,2025-12-25,Minor,90960.42
CLM10002,PID10019,2026-11-25,Moderate,220798.91
CLM10003,PID10019,2027-03-27,Minor,58655.96
CLM10004,PID10026,2026-10-09,Minor,138408.25
CLM10005,PID10029,2025-12-15,Moderate,90895.75
CLM10006,PID10043,2025-06-01,Moderate,126134.98
CLM10007,PID10071,2026-04-06,Moderate,89362.66
CLM10008,PID10074,2026-09-11,Minor,26422.72
CLM10009,PID10075,2022-12-17,Minor,26692.63
CLM10010,PID10079,2026-08-20,Minor,24364.84
CLM10011,PID10109,2025-07-09,Major,618291.09
CLM10012,PID10115,2027-04-30,Minor,33878.43
CLM10013,PID10117,2023-07-09,Minor,48944.47
CLM10014,PID10130,2024-05-15,Minor,36498.69
CLM10015,PID10139,2026-01-17,Minor,86736.06
CLM10016,PID10139,2026-03-23,Minor,55404.95
CLM10017,PID10141,2026-11-16,Minor,27063.94
CLM10018,PID10150,2024-08-26,Moderate,91889.66
CLM10019,PID10168,2026-04-13,Minor,12741.29
CLM10020,PID10174,2022-07-31,Minor,23396.55
CLM10021,PID10175,2023-06-12,Minor,24065.21
CLM10022,PID10175,2023-07-20,Minor,20398.28
CLM10023,PID10182,2026-06-23,Minor,22924.56
CLM10024,PID10184,2026-07-15,Minor,56883.69
CLM10025,PID10188,2026-04-17,Minor,17944.73
CLM10026,PID10189,2027-04-25,Minor,13628.55
CLM10027,PID10196,2026-11-25,Moderate,68871.3
CLM10028,PID10196,2026-08-26,Major,174714.73
CLM10029,PID10199,2026-02-05,Minor,23798.32
CLM10030,PID10200,2026-11-17,Minor,39662.3
CLM10031,PID10202,2026-07-07,Minor,40594.32
CLM10032,PID10209,2025-04-30,Moderate,78832.98
CLM10033,PID10210,2026-04-25,Minor,36151.0
CLM10034,PID10216,2022-05-04,Moderate,43510.57
CLM10035,PID10216,2021-09-22,Minor,26489.34
CLM10036,PID10220,2025-10-04,Minor,28667.91
CLM10037,PID10236,2026-10-12,Moderate,48893.3
CLM10038,PID10239,2027-01-16,Major,238658.95
CLM10039,PID10247,2021-03-05,Minor,29940.38
CLM10040,PID10248,2021-12-29,Minor,27596.15
CLM10041,PID10249,2023-07-17,Minor,12647.71
CLM10042,PID10250,2024-05-03,Minor,16508.6
CLM10043,PID10257,2024-07-20,Minor,31570.65
CLM10044,PID10260,2021-11-01,Minor,54792.74
CLM10045,PID10262,2023-07-28,Minor,47746.4
CLM10046,PID10264,2025-03-18,Minor,29168.26
CLM10047,PID10265,2026-03-05,Moderate,142998.27
CLM10048,PID10268,2023-05-31,Moderate,83686.76
CLM10049,PID10268,2022-12-25,Minor,34915.78
CLM10050,PID10270,2025-05-25,Moderate,77231.33
CLM10051,PID10270,2025-02-04,Minor,37309.06
CLM10052,PID10273,2026-07-26,Minor,27417.77
CLM10053,PID10274,2023-02-15,Minor,8899.61
CLM10054,PID10288,2024-09-20,Moderate,43185.0
CLM10055,PID10291,2026-08-08,Minor,67173.71
CLM10056,PID10292,2021-08-30,Minor,28187.14
CLM10057,PID10293,2022-12-26,Moderate,158842.75
CLM10058,PID10296,2026-04-08,Minor,65959.12
CLM10059,PID10297,2027-02-16,Minor,59912.54
CLM10060,PID10300,2023-10-15,Minor,30506.97
CLM10061,PID10300,2023-07-11,Moderate,56875.34
CLM10062,PID10305,2026-07-31,Minor,31974.91
CLM10063,PID10315,2026-03-29,Minor,11973.24
CLM10064,PID10326,2027-03-17,Moderate,196037.34
CLM10065,PID10356,2024-12-19,Major,56985.28
CLM10066,PID10356,2025-06-01,Minor,11131.67
CLM10067,PID10356,2025-01-23,Moderate,32391.33
CLM10068,PID10363,2026-05-04,Minor,37756.98
CLM10069,PID10363,2026-03-17,Moderate,91453.58
CLM10070,PID10377,2027-05-03,Minor,17645.08
CLM10071,PID10389,2026-11-01,Minor,29890.83
CLM10072,PID10392,2026-10-16,Minor,15933.99
CLM10073,PID10393,2026-11-20,Minor,42749.2
CLM10074,PID10405,2026-11-26,Minor,57065.18
CLM10075,PID10408,2025-05-21,Minor,83125.57
CLM10076,PID10408,2025-07-14,Minor,61676.12
CLM10077,PID10417,2026-10-20,Minor,52571.1
CLM10078,PID10418,2024-06-20,Minor,35521.71
CLM10079,PID10419,2026-04-17,Moderate,43657.66
