Policy_Number,RID,RED,IDV,Policy_Tenure,Policy_Term,Total_Claim_Amount,Claim_Count,NCB,Premium,Customer_Area,District,RTO,Make,Model,Vehicle_Type,Fuel_Type,Engine_CC,Manufacturing_Year,Vehicle_First_Registration_Date,Vehicle_Age,Channel_Type,Portfolio_Size,Year_Onboarded,Renewed
POL10000,2025-12-25,2026-12-24,895645,1,365,186414.38,0,0,26869.35,Samba,Samba,JK08,Hyundai,Venue,SUV,Diesel,1197,2025,2025-09-30,1,Bancassurance,392,2022-10-25,0
POL10001,2025-07-29,2026-07-28,924994,1,365,0.0,0,0,27749.82,Bahu Plaza,Jammu,JK02,Hyundai,Venue,SUV,Diesel,1197,2024,2025-05-02,2,POSP,26,2023-09-28,0
POL10002,2023-03-16,2024-03-14,268792,1,365,0.0,0,0,8063.76,Canal Road,Jammu,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2019,2019-12-21,7,Prime Broker,266,2021-07-14,1
POL10002,2024-03-15,2025-03-14,268792,2,365,15252.65,1,20,7096.11,Canal Road,Jammu,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2019,2019-12-21,7,Prime Broker,266,2021-07-14,1
POL10002,2025-03-15,2026-03-14,268792,3,365,0.0,1,0,8870.14,Canal Road,Jammu,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2019,2019-12-21,7,Prime Broker,266,2021-07-14,1
POL10002,2026-03-15,2027-03-14,268792,4,365,0.0,0,0,8063.76,Canal Road,Jammu,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2019,2019-12-21,7,Prime Broker,266,2021-07-14,0
POL10003,2025-04-28,2026-04-27,693601,1,365,0.0,0,0,20808.03,Canal Road,Jammu,JK02,Honda,City,Sedan,Petrol,1498,2020,2020-11-27,6,Agency,179,2022-07-14,1
POL10003,2026-04-28,2027-04-27,693601,2,365,0.0,0,20,16646.42,Canal Road,Jammu,JK02,Honda,City,Sedan,Petrol,1498,2020,2020-11-27,6,Agency,179,2022-07-14,0
POL10004,2023-11-11,2024-11-09,326394,1,365,0.0,0,0,9791.82,Doda,Doda,JK06,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2022,2022-08-12,4,POSP,86,2023-04-24,1
POL10004,2024-11-10,2025-11-09,326394,2,365,0.0,1,20,8616.8,Doda,Doda,JK06,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2022,2022-08-12,4,POSP,86,2023-04-24,1
POL10004,2025-11-10,2026-11-09,326394,3,365,0.0,0,0,9791.82,Doda,Doda,JK06,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2022,2022-08-12,4,POSP,86,2023-04-24,0
POL10005,2025-03-08,2026-03-07,293683,1,365,0.0,1,0,9691.54,Trikuta Nagar,Jammu,JK02,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2020,2021-01-16,6,Prime Broker,339,2021-08-27,1
POL10005,2026-03-08,2027-03-07,293683,2,365,0.0,0,0,8810.49,Trikuta Nagar,Jammu,JK02,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2020,2021-01-16,6,Prime Broker,339,2021-08-27,0
POL10006,2025-07-13,2026-07-12,676264,1,365,0.0,0,0,20287.92,Marh,Jammu,JK02,Mahindra,Scorpio Classic,SUV,Diesel,2184,2019,2020-02-12,7,Agency,196,2025-05-09,0
POL10007,2025-07-27,2026-07-26,484807,1,365,155125.81,0,0,14544.21,Marh,Jammu,JK02,Hyundai,Creta,SUV,Diesel,1497,2018,2018-11-21,8,Bancassurance,655,2025-06-04,0
POL10008,2025-05-15,2026-05-14,974265,1,365,0.0,0,0,29227.95,Talab Tillo,Jammu,JK02,Toyota,Fortuner,SUV,Petrol,2755,2017,2017-08-04,9,Agency,99,2023-04-09,1
POL10008,2026-05-15,2027-05-14,974265,2,365,0.0,0,20,23382.36,Talab Tillo,Jammu,JK02,Toyota,Fortuner,SUV,Petrol,2755,2017,2017-08-04,9,Agency,99,2023-04-09,0
POL10009,2022-07-03,2023-07-02,358537,1,365,0.0,0,0,10756.11,Narwal,Jammu,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2021,2022-01-14,5,Bancassurance,775,2019-05-23,1
POL10009,2023-07-03,2024-07-01,358537,2,365,0.0,0,20,8604.89,Narwal,Jammu,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2021,2022-01-14,5,Bancassurance,775,2019-05-23,1
POL10009,2024-07-02,2025-07-01,358537,3,365,0.0,0,25,8067.08,Narwal,Jammu,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2021,2022-01-14,5,Bancassurance,775,2019-05-23,1
POL10009,2025-07-02,2026-07-01,358537,4,365,25655.59,1,35,7690.62,Narwal,Jammu,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2021,2022-01-14,5,Bancassurance,775,2019-05-23,0
POL10010,2024-10-14,2025-10-13,441099,1,365,0.0,0,0,13232.97,Trikuta Nagar,Jammu,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2023,2023-05-03,3,Prime Broker,335,2020-03-17,1
POL10010,2025-10-14,2026-10-13,441099,2,365,0.0,0,20,10586.38,Trikuta Nagar,Jammu,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2023,2023-05-03,3,Prime Broker,335,2020-03-17,0
POL10011,2025-05-25,2026-05-24,968301,1,365,0.0,0,0,29049.03,Trikuta Nagar,Jammu,JK02,Kia,Sonet,SUV,Petrol,1197,2023,2023-03-22,3,Agency,196,2025-05-09,1
POL10011,2026-05-25,2027-05-24,968301,2,365,0.0,1,20,25563.15,Trikuta Nagar,Jammu,JK02,Kia,Sonet,SUV,Petrol,1197,2023,2023-03-22,3,Agency,196,2025-05-09,0
POL10012,2022-12-01,2023-11-30,538591,1,365,0.0,0,0,16157.73,Katra,Reasi,JK20,Hyundai,i20,Hatchback,Petrol,1197,2022,2022-10-06,4,Dealer,60,2020-08-15,1
POL10012,2023-12-01,2024-11-29,538591,2,365,0.0,1,20,14218.8,Katra,Reasi,JK20,Hyundai,i20,Hatchback,Petrol,1197,2022,2022-10-06,4,Dealer,60,2020-08-15,1
POL10012,2024-11-30,2025-11-29,538591,3,365,0.0,0,0,16157.73,Katra,Reasi,JK20,Hyundai,i20,Hatchback,Petrol,1197,2022,2022-10-06,4,Dealer,60,2020-08-15,1
