Vehicle_ID,Customer_ID,Registration_Number,RTO,Make,Model,Vehicle_Type,Fuel_Type,Engine_CC,Manufacturing_Year,Vehicle_Age,IDV
VEH10000,CUST10000,JK08GD2679,JK08,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2019,7,263835
VEH10001,CUST10001,JK02GP4257,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2019,7,246229
VEH10002,CUST10002,JK02TE7924,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2023,3,359020
VEH10003,CUST10003,JK06JJ6635,JK06,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2020,6,352165
VEH10004,CUST10003,JK06ZJ5803,JK06,Hyundai,Creta,SUV,Diesel,1497,2017,9,451619
VEH10005,CUST10003,JK06BF5741,JK06,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2011,15,113238
VEH10006,CUST10004,JK02EJ5374,JK02,Hyundai,i20,Hatchback,Petrol,1197,2019,7,327744
VEH10007,CUST10005,JK02EJ4598,JK02,Hyundai,Venue,SUV,Petrol,1197,2019,7,376069
VEH10008,CUST10006,JK02GF6155,JK02,Kia,Sonet,SUV,Diesel,1197,2024,2,891880
VEH10009,CUST10006,JK02DD9830,JK02,Toyota,Glanza,Hatchback,CNG,1197,2023,3,634157
VEH10010,CUST10007,JK02NC1771,JK02,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2016,10,207240
VEH10011,CUST10008,JK02BJ8668,JK02,Mahindra,Bolero,SUV,Diesel,1493,2021,5,528332
VEH10012,CUST10009,JK20TT6573,JK20,Mahindra,Bolero,SUV,Diesel,1493,2024,2,626336
VEH10013,CUST10010,JK11GN3927,JK11,Honda,Elevate,SUV,Petrol,1498,2021,5,877837
VEH10014,CUST10011,JK02FJ3646,JK02,Tata,Harrier,SUV,Diesel,1956,2021,5,1039902
VEH10015,CUST10012,JK11WV6038,JK11,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2024,2,517966
VEH10016,CUST10013,JK20VZ9727,JK20,Maruti Suzuki,Brezza,SUV,Petrol,1462,2018,8,366064
VEH10017,CUST10013,JK20GW7932,JK20,Hyundai,Venue,SUV,Petrol,1197,2012,14,256714
VEH10018,CUST10014,JK02LN2982,JK02,Tata,Altroz,Hatchback,Petrol,1199,2023,3,544077
VEH10019,CUST10015,JK02FB1964,JK02,Tata,Harrier,SUV,Diesel,1956,2024,2,1674366
VEH10020,CUST10016,JK02FD8744,JK02,Maruti Suzuki,Brezza,SUV,CNG,1462,2024,2,898688
VEH10021,CUST10017,JK02JK1887,JK02,Maruti Suzuki,Brezza,SUV,Petrol,1462,2019,7,292711
VEH10022,CUST10018,JK17GE8350,JK17,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2024,2,436829
VEH10023,CUST10019,JK06LW2604,JK06,Toyota,Innova Crysta,MPV,Diesel,2393,2025,1,1526248
VEH10024,CUST10020,JK19KM7570,JK19,Kia,Seltos,SUV,Petrol,1497,2015,11,448691
VEH10025,CUST10020,JK19GU8454,JK19,Maruti Suzuki,Brezza,SUV,CNG,1462,2023,3,546810
VEH10026,CUST10021,JK02PO6138,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2025,1,564092
VEH10027,CUST10022,JK02YC4044,JK02,Hyundai,Creta,SUV,Petrol,1497,2025,1,1366809
VEH10028,CUST10022,JK02DX5033,JK02,Toyota,Glanza,Hatchback,Petrol,1197,2020,6,416130
VEH10029,CUST10023,JK02NY4346,JK02,Tata,Harrier,SUV,Diesel,1956,2019,7,760224
VEH10030,CUST10024,JK20LY2188,JK20,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2025,1,330147
VEH10031,CUST10025,JK02YW5002,JK02,Hyundai,Venue,SUV,Petrol,1197,2022,4,695681
VEH10032,CUST10026,JK20ZU9666,JK20,Mahindra,Bolero,SUV,Diesel,1493,2025,1,1010231
VEH10033,CUST10026,JK20GX3546,JK20,Tata,Punch,SUV,Petrol,1199,2023,3,683364
VEH10034,CUST10027,JK02NG1832,JK02,Mahindra,Thar,SUV,Diesel,2184,2025,1,1759188
VEH10035,CUST10028,JK04QG8239,JK04,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2021,5,397038
