Claim_ID,Policy_ID,Claim_Date,Claim_Severity,Claim_Amount
CLM10000,PID10003,2024-08-09,Minor,17558.58
CLM10001,PID10004,2025-10-28,Minor,22231.91
CLM10002,PID10009,2025-01-05,Minor,22345.67
CLM10003,PID10011,2025-10-06,Moderate,55795.25
CLM10004,PID10020,2025-12-19,Minor,26043.72
CLM10005,PID10024,2027-03-08,Minor,52932.73
CLM10006,PID10026,2024-09-17,Minor,42388.91
CLM10007,PID10051,2026-03-23,Moderate,221681.22
CLM10008,PID10053,2025-09-10,Moderate,34800.98
CLM10009,PID10062,2026-09-04,Moderate,44912.89
CLM10010,PID10062,2026-09-23,Minor,15833.21
CLM10011,PID10067,2027-02-24,Moderate,30809.45
CLM10012,PID10071,2021-08-15,Minor,14645.47
CLM10013,PID10083,2025-02-25,Minor,21650.57
CLM10014,PID10091,2025-12-12,Minor,14249.3
CLM10015,PID10094,2026-01-06,Minor,69365.19
CLM10016,PID10096,2026-10-28,Major,359193.86
CLM10017,PID10096,2027-01-28,Moderate,105682.93
CLM10018,PID10107,2026-08-21,Moderate,186720.64
CLM10019,PID10113,2023-02-26,Minor,24363.36
CLM10020,PID10114,2024-01-05,Minor,37170.63
CLM10021,PID10115,2025-05-21,Major,150924.93
CLM10022,PID10127,2025-09-25,Moderate,93468.72
CLM10023,PID10137,2026-08-18,Minor,46473.84
CLM10024,PID10138,2022-10-18,Minor,27288.8
CLM10025,PID10139,2023-10-14,Minor,38595.56
CLM10026,PID10154,2024-10-11,Minor,46106.7
CLM10027,PID10155,2025-06-25,Moderate,106109.86
CLM10028,PID10156,2026-07-07,Minor,58841.36
CLM10029,PID10156,2026-08-28,Minor,59547.44
CLM10030,PID10156,2026-09-30,Minor,48043.34
CLM10031,PID10163,2026-05-15,Minor,26393.25
CLM10032,PID10164,2023-08-17,Moderate,134922.98
CLM10033,PID10167,2026-06-21,Major,263247.61
CLM10034,PID10170,2026-05-18,Minor,11619.43
CLM10035,PID10174,2024-02-25,Minor,76234.51
CLM10036,PID10174,2024-04-23,Moderate,185883.43
CLM10037,PID10183,2024-04-05,Minor,38221.16
CLM10038,PID10185,2026-05-19,Moderate,104892.3
CLM10039,PID10186,2023-07-25,Minor,22287.18
CLM10040,PID10187,2023-09-05,Minor,20466.86
CLM10041,PID10212,2025-04-06,Minor,17208.21
CLM10042,PID10212,2025-09-09,Major,129832.61
CLM10043,PID10217,2026-03-30,Minor,119296.45
CLM10044,PID10218,2025-09-14,Minor,35194.12
CLM10045,PID10228,2026-09-19,Minor,120424.9
CLM10046,PID10237,2026-08-30,Minor,42887.21
CLM10047,PID10242,2024-11-10,Minor,48804.42
CLM10048,PID10242,2025-01-28,Minor,50653.17
CLM10049,PID10243,2025-03-21,Major,282972.13
CLM10050,PID10246,2025-04-19,Minor,15539.38
CLM10051,PID10247,2025-10-12,Minor,24451.69
CLM10052,PID10247,2026-06-04,Minor,21675.09
CLM10053,PID10271,2025-07-24,Minor,36587.66
CLM10054,PID10271,2025-11-15,Minor,29407.26
CLM10055,PID10271,2026-02-04,Minor,60603.08
CLM10056,PID10277,2025-10-23,Moderate,55519.83
CLM10057,PID10280,2026-11-29,Moderate,123205.44
CLM10058,PID10281,2025-08-09,Minor,59553.68
CLM10059,PID10282,2025-02-16,Major,106275.82
CLM10060,PID10283,2026-02-07,Minor,27398.5
CLM10061,PID10286,2025-05-19,Moderate,101132.73
CLM10062,PID10288,2022-10-29,Minor,34710.07
CLM10063,PID10289,2023-01-23,Minor,29343.45
CLM10064,PID10295,2025-11-05,Moderate,59957.85
CLM10065,PID10295,2026-01-22,Moderate,106569.73
CLM10066,PID10300,2025-08-15,Minor,20843.75
CLM10067,PID10303,2026-11-03,Moderate,33470.19
CLM10068,PID10308,2026-05-04,Minor,15811.32
CLM10069,PID10314,2024-02-17,Moderate,48507.78
CLM10070,PID10319,2026-06-10,Minor,259140.77
CLM10071,PID10326,2025-02-04,Moderate,78759.96
CLM10072,PID10327,2026-05-10,Major,204913.53
CLM10073,PID10332,2023-06-25,Minor,56722.02
CLM10074,PID10335,2026-10-04,Minor,37358.31
CLM10075,PID10335,2026-10-11,Minor,34934.06
CLM10076,PID10339,2024-08-29,Minor,33217.3
CLM10077,PID10339,2024-10-03,Minor,34587.39
CLM10078,PID10347,2026-07-05,Moderate,80690.72
CLM10079,PID10348,2024-01-17,Moderate,131043.56
CLM10080,PID10355,2024-02-05,Minor,18666.02
CLM10081,PID10357,2026-01-29,Minor,24187.17
CLM10082,PID10364,2025-11-08,Minor,81933.9
CLM10083,PID10366,2026-02-25,Minor,77127.46
CLM10084,PID10370,2026-08-21,Minor,44762.39
CLM10085,PID10386,2026-01-08,Minor,34359.99
CLM10086,PID10389,2026-02-14,Moderate,81185.84
CLM10087,PID10391,2023-12-05,Minor,25950.03
CLM10088,PID10396,2025-06-04,Minor,54470.33
CLM10089,PID10400,2026-07-28,Minor,32214.73
CLM10090,PID10405,2024-03-14,Minor,18945.86
CLM10091,PID10409,2026-08-21,Minor,85287.21
CLM10092,PID10415,2025-03-26,Minor,28183.52
CLM10093,PID10419,2025-10-26,Minor,12326.32
CLM10094,PID10419,2026-04-25,Minor,15036.2
CLM10095,PID10420,2027-03-30,Minor,10114.42
CLM10096,PID10424,2026-02-09,Minor,127093.84
CLM10097,PID10426,2026-06-13,Minor,16078.88
CLM10098,PID10429,2026-08-24,Minor,38592.03
CLM10099,PID10433,2024-10-03,Minor,26956.99
CLM10100,PID10437,2026-04-23,Moderate,238153.12
CLM10101,PID10437,2026-08-19,Minor,109048.41
CLM10102,PID10439,2023-12-03,Moderate,896244.65
CLM10103,PID10440,2025-06-26,Moderate,923984.51
CLM10104,PID10442,2025-07-06,Minor,104977.65
CLM10105,PID10446,2026-09-25,Minor,34209.05
CLM10106,PID10448,2026-07-11,Minor,88254.15
CLM10107,PID10451,2025-11-23,Minor,27702.17
CLM10108,PID10458,2022-07-05,Major,169811.36
CLM10109,PID10459,2023-05-02,Major,186721.73
CLM10110,PID10459,2023-11-30,Major,227282.35
CLM10111,PID10461,2025-03-23,Moderate,87485.9
CLM10112,PID10475,2023-07-03,Major,235701.97
CLM10113,PID10481,2026-12-30,Minor,95845.46
CLM10114,PID10493,2026-03-02,Minor,16921.59
CLM10115,PID10494,2026-06-02,Minor,18341.08
CLM10116,PID10495,2022-06-24,Minor,149849.91
CLM10117,PID10498,2025-01-17,Minor,61869.24
CLM10118,PID10498,2025-05-21,Minor,168723.95
CLM10119,PID10504,2022-05-12,Minor,54032.46
CLM10120,PID10523,2022-09-30,Minor,106340.74
CLM10121,PID10536,2026-11-26,Minor,29358.05
CLM10122,PID10544,2021-04-24,Moderate,71226.92
CLM10123,PID10546,2023-05-01,Moderate,40154.17
CLM10124,PID10557,2027-05-28,Minor,24357.62
CLM10125,PID10569,2025-04-20,Minor,70583.6
CLM10126,PID10570,2027-02-15,Major,238540.35
CLM10127,PID10571,2024-05-25,Moderate,147813.29
CLM10128,PID10581,2025-08-06,Moderate,28329.03
CLM10129,PID10581,2026-02-08,Minor,14294.47
CLM10130,PID10588,2026-06-02,Minor,57525.76
CLM10131,PID10591,2026-03-07,Minor,67717.4
CLM10132,PID10597,2025-06-23,Minor,11249.9
CLM10133,PID10610,2022-09-22,Minor,198518.95
CLM10134,PID10610,2022-12-15,Minor,76870.34
CLM10135,PID10622,2026-07-09,Minor,35214.02
CLM10136,PID10648,2025-07-05,Moderate,65355.12
CLM10137,PID10651,2025-12-16,Minor,39492.8
CLM10138,PID10651,2026-07-25,Minor,51731.26
