Policy_Number,IMD_Code,RID,RED,IDV,Policy_Tenure,Total_Claim_Amount,Claim_Count,NCB,Premium,Customer_Area,Make,Model,Vehicle_Type,Fuel_Type,Engine_CC,Vehicle_First_Registration_Date,Vehicle_Age,Channel_Type,Portfolio_Size,Renewed,Last_Remark,Previous_NCB,Previous_Claim_Count,Years_With_Channel,Premium_to_IDV_Ratio
POL10000,IMD10086,2025-12-25,2026-12-24,895645,1,186414.38,0,0,26869.35,Samba,Hyundai,Venue,SUV,Diesel,1197,2025-09-30,1,Bancassurance,392,0,Premium too high,0.0,0.0,3,0.03
POL10001,IMD10025,2025-07-29,2026-07-28,924994,1,0.0,0,0,27749.82,Bahu Plaza,Hyundai,Venue,SUV,Diesel,1197,2025-05-02,2,POSP,26,0,Premium too high,0.0,0.0,2,0.03
POL10002,IMD10245,2023-03-16,2024-03-14,268792,1,0.0,0,0,8063.76,Canal Road,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2019-12-21,7,Prime Broker,266,1,Long-term customer,0.0,0.0,2,0.03
POL10002,IMD10245,2024-03-15,2025-03-14,268792,2,15252.65,1,20,7096.11,Canal Road,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2019-12-21,7,Prime Broker,266,1,Renewal in progress,0.0,0.0,3,0.0264
POL10002,IMD10245,2025-03-15,2026-03-14,268792,3,0.0,1,0,8870.14,Canal Road,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2019-12-21,7,Prime Broker,266,1,Premium accepted,20.0,1.0,4,0.033
POL10002,IMD10245,2026-03-15,2027-03-14,268792,4,0.0,0,0,8063.76,Canal Road,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2019-12-21,7,Prime Broker,266,0,Customer not interested,0.0,1.0,5,0.03
POL10003,IMD10414,2025-04-28,2026-04-27,693601,1,0.0,0,0,20808.03,Canal Road,Honda,City,Sedan,Petrol,1498,2020-11-27,6,Agency,179,1,Premium accepted,0.0,0.0,3,0.03
POL10003,IMD10414,2026-04-28,2027-04-27,693601,2,0.0,0,20,16646.42,Canal Road,Honda,City,Sedan,Petrol,1498,2020-11-27,6,Agency,179,0,Renewed with competitor,0.0,0.0,4,0.024
POL10004,IMD10292,2023-11-11,2024-11-09,326394,1,0.0,0,0,9791.82,Doda,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2022-08-12,4,POSP,86,1,Premium accepted,0.0,0.0,0,0.03
POL10004,IMD10292,2024-11-10,2025-11-09,326394,2,0.0,1,20,8616.8,Doda,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2022-08-12,4,POSP,86,1,Customer satisfied,0.0,0.0,1,0.0264
POL10004,IMD10292,2025-11-10,2026-11-09,326394,3,0.0,0,0,9791.82,Doda,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2022-08-12,4,POSP,86,0,Claim experience poor,20.0,1.0,2,0.03
POL10005,IMD10029,2025-03-08,2026-03-07,293683,1,0.0,1,0,9691.54,Trikuta Nagar,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2021-01-16,6,Prime Broker,339,1,Renewal in progress,0.0,0.0,4,0.033
POL10005,IMD10029,2026-03-08,2027-03-07,293683,2,0.0,0,0,8810.49,Trikuta Nagar,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2021-01-16,6,Prime Broker,339,0,Customer not interested,0.0,1.0,5,0.03
POL10006,IMD10378,2025-07-13,2026-07-12,676264,1,0.0,0,0,20287.92,Marh,Mahindra,Scorpio Classic,SUV,Diesel,2184,2020-02-12,7,Agency,196,0,Comparing competitor quotes,0.0,0.0,0,0.03
POL10007,IMD10113,2025-07-27,2026-07-26,484807,1,155125.81,0,0,14544.21,Marh,Hyundai,Creta,SUV,Diesel,1497,2018-11-21,8,Bancassurance,655,0,Agent lost customer,0.0,0.0,0,0.03
POL10008,IMD10051,2025-05-15,2026-05-14,974265,1,0.0,0,0,29227.95,Talab Tillo,Toyota,Fortuner,SUV,Petrol,2755,2017-08-04,9,Agency,99,1,Long-term customer,0.0,0.0,2,0.03
POL10008,IMD10051,2026-05-15,2027-05-14,974265,2,0.0,0,20,23382.36,Talab Tillo,Toyota,Fortuner,SUV,Petrol,2755,2017-08-04,9,Agency,99,0,Customer not interested,0.0,0.0,3,0.024
POL10009,IMD10172,2022-07-03,2023-07-02,358537,1,0.0,0,0,10756.11,Narwal,Maruti Suzuki,Swift,Hatchback,CNG,1197,2022-01-14,5,Bancassurance,775,1,Waiting for payment,0.0,0.0,3,0.03
POL10009,IMD10172,2023-07-03,2024-07-01,358537,2,0.0,0,20,8604.89,Narwal,Maruti Suzuki,Swift,Hatchback,CNG,1197,2022-01-14,5,Bancassurance,775,1,Documents shared,0.0,0.0,4,0.024
POL10009,IMD10172,2024-07-02,2025-07-01,358537,3,0.0,0,25,8067.08,Narwal,Maruti Suzuki,Swift,Hatchback,CNG,1197,2022-01-14,5,Bancassurance,775,1,Waiting for payment,20.0,0.0,5,0.0225
POL10009,IMD10172,2025-07-02,2026-07-01,358537,4,25655.59,1,35,7690.62,Narwal,Maruti Suzuki,Swift,Hatchback,CNG,1197,2022-01-14,5,Bancassurance,775,0,Customer not interested,25.0,0.0,6,0.0215
POL10010,IMD10010,2024-10-14,2025-10-13,441099,1,0.0,0,0,13232.97,Trikuta Nagar,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2023-05-03,3,Prime Broker,335,1,Customer satisfied,0.0,0.0,4,0.03
POL10010,IMD10010,2025-10-14,2026-10-13,441099,2,0.0,0,20,10586.38,Trikuta Nagar,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2023-05-03,3,Prime Broker,335,0,No response after follow-up,0.0,0.0,5,0.024
POL10011,IMD10378,2025-05-25,2026-05-24,968301,1,0.0,0,0,29049.03,Trikuta Nagar,Kia,Sonet,SUV,Petrol,1197,2023-03-22,3,Agency,196,1,Payment expected today,0.0,0.0,0,0.03
POL10011,IMD10378,2026-05-25,2027-05-24,968301,2,0.0,1,20,25563.15,Trikuta Nagar,Kia,Sonet,SUV,Petrol,1197,2023-03-22,3,Agency,196,0,Premium too high,0.0,0.0,1,0.0264
POL10012,IMD10144,2022-12-01,2023-11-30,538591,1,0.0,0,0,16157.73,Katra,Hyundai,i20,Hatchback,Petrol,1197,2022-10-06,4,Dealer,60,1,Premium accepted,0.0,0.0,2,0.03
POL10012,IMD10144,2023-12-01,2024-11-29,538591,2,0.0,1,20,14218.8,Katra,Hyundai,i20,Hatchback,Petrol,1197,2022-10-06,4,Dealer,60,1,Customer satisfied,0.0,0.0,3,0.0264
