Vehicle_ID,Customer_ID,Registration_Number,RTO,Make,Model,Vehicle_Type,Fuel_Type,Engine_CC,Manufacturing_Year,Vehicle_First_Registration_Date,Vehicle_Age,IDV
VEH10000,CUST10000,JK08DY4555,JK08,Hyundai,Venue,SUV,Diesel,1197,2025,2025-09-30,1,895645
VEH10001,CUST10001,JK02HY5549,JK02,Hyundai,Venue,SUV,Diesel,1197,2024,2025-05-02,2,924994
VEH10002,CUST10002,JK02JC6296,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2019,2019-12-21,7,268792
VEH10003,CUST10002,JK02KA6046,JK02,Honda,City,Sedan,Petrol,1498,2020,2020-11-27,6,693601
VEH10004,CUST10003,JK06IJ3099,JK06,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2022,2022-08-12,4,326394
VEH10005,CUST10004,JK02RX6120,JK02,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2020,2021-01-16,6,293683
VEH10006,CUST10005,JK02ZU4750,JK02,Mahindra,Scorpio Classic,SUV,Diesel,2184,2019,2020-02-12,7,676264
VEH10007,CUST10005,JK02IW7293,JK02,Hyundai,Creta,SUV,Diesel,1497,2018,2018-11-21,8,484807
VEH10008,CUST10006,JK02BK4165,JK02,Toyota,Fortuner,SUV,Petrol,2755,2017,2017-08-04,9,974265
VEH10009,CUST10007,JK02IV8906,JK02,Maruti Suzuki,Swift,Hatchback,CNG,1197,2021,2022-01-14,5,358537
VEH10010,CUST10008,JK02YP2972,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2023,2023-05-03,3,441099
VEH10011,CUST10008,JK02SW5885,JK02,Kia,Sonet,SUV,Petrol,1197,2023,2023-03-22,3,968301
VEH10012,CUST10009,JK20MX3418,JK20,Hyundai,i20,Hatchback,Petrol,1197,2022,2022-10-06,4,538591
VEH10013,CUST10010,JK11HS8427,JK11,Honda,Amaze,Sedan,Petrol,1199,2023,2024-03-18,3,465476
VEH10014,CUST10011,JK02JI7144,JK02,Maruti Suzuki,Brezza,SUV,CNG,1462,2021,2022-10-10,5,453687
VEH10015,CUST10012,JK11QI1645,JK11,Tata,Nexon,SUV,Petrol,1199,2015,2016-01-24,11,305200
VEH10016,CUST10013,JK20CE4850,JK20,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2025,2025-12-02,1,608891
VEH10017,CUST10014,JK02ON7487,JK02,Maruti Suzuki,Brezza,SUV,Petrol,1462,2019,2019-11-11,7,374056
VEH10018,CUST10015,JK02FB1396,JK02,Mahindra,Thar,SUV,Petrol,2184,2025,2026-08-10,1,1057590
VEH10019,CUST10016,JK02YD6234,JK02,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2023,2024-06-11,3,537261
VEH10020,CUST10017,JK02OB1589,JK02,Hyundai,Verna,Sedan,Petrol,1497,2024,2024-10-19,2,707634
VEH10021,CUST10018,JK17KD1120,JK17,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2015,2016-05-12,11,197910
VEH10022,CUST10019,JK06TG4207,JK06,Hyundai,Venue,SUV,Diesel,1197,2023,2023-07-13,3,821512
VEH10023,CUST10020,JK19UF2846,JK19,Tata,Harrier,SUV,Diesel,1956,2025,2025-06-09,1,2206438
VEH10024,CUST10021,JK02XV6913,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2022,2023-03-18,4,368200
VEH10025,CUST10022,JK02VW4380,JK02,Maruti Suzuki,Baleno,Hatchback,CNG,1197,2021,2022-05-29,5,352433
VEH10026,CUST10023,JK02MP5071,JK02,Maruti Suzuki,Brezza,SUV,Petrol,1462,2025,2025-02-16,1,976990
VEH10027,CUST10024,JK20HJ3613,JK20,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2025,2026-05-03,1,528581
VEH10028,CUST10025,JK02KA1573,JK02,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2015,2015-09-16,11,114325
VEH10029,CUST10026,JK20WY3860,JK20,Tata,Nexon,SUV,Diesel,1199,2025,2025-06-24,1,1111749
VEH10030,CUST10027,JK02SM3511,JK02,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2024,2025-01-31,2,335586
VEH10031,CUST10028,JK04EA1721,JK04,Kia,Sonet,SUV,Diesel,1197,2019,2019-10-14,7,365017
VEH10032,CUST10029,JK12ZE8339,JK12,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2017,2018-08-17,9,192914
VEH10033,CUST10029,JK12US1774,JK12,Honda,Amaze,Sedan,Petrol,1199,2023,2023-08-27,3,593399
VEH10034,CUST10030,JK14SO6254,JK14,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2018,2018-09-11,8,190782
VEH10035,CUST10031,JK02DR9102,JK02,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2019,2020-02-18,7,266280
VEH10036,CUST10032,JK12QL9834,JK12,Maruti Suzuki,WagonR,Hatchback,Petrol,1197,2016,2016-08-24,10,165984
VEH10037,CUST10033,JK02WO4372,JK02,Tata,Punch,SUV,Petrol,1199,2017,2018-02-02,9,258860
VEH10038,CUST10034,JK02GO3698,JK02,Hyundai,Creta,SUV,Diesel,1497,2018,2019-05-13,8,357910
VEH10039,CUST10035,JK02OK7435,JK02,Kia,Sonet,SUV,Petrol,1197,2024,2025-01-18,2,749426
VEH10040,CUST10036,JK02SX9265,JK02,Hyundai,Venue,SUV,Diesel,1197,2017,2017-09-10,9,286074
VEH10041,CUST10037,JK02OC4129,JK02,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2025,2025-03-12,1,507761
VEH10042,CUST10038,JK20GY7912,JK20,Mahindra,Scorpio-N,SUV,Diesel,2198,2014,2014-11-18,12,554919
VEH10043,CUST10038,JK20HQ8838,JK20,Hyundai,Venue,SUV,Diesel,1197,2020,2021-09-14,6,329872
VEH10044,CUST10039,JK04SW7287,JK04,Maruti Suzuki,WagonR,Hatchback,CNG,1197,2018,2019-02-01,8,248169
VEH10045,CUST10040,JK08ZT2422,JK08,Maruti Suzuki,Swift,Hatchback,Petrol,1197,2022,2022-10-15,4,467838
VEH10046,CUST10041,JK04LT4954,JK04,Tata,Nexon,SUV,Diesel,1199,2020,2021-01-14,6,575761
VEH10047,CUST10041,JK04FK1168,JK04,Mahindra,XUV700,SUV,Petrol,1999,2019,2020-10-07,7,1144710
VEH10048,CUST10042,JK02HO9776,JK02,Hyundai,Verna,Sedan,Petrol,1497,2019,2019-11-04,7,536734
VEH10049,CUST10043,JK02WB6429,JK02,Toyota,Fortuner,SUV,Diesel,2755,2022,2022-12-14,4,3013360
VEH10050,CUST10044,JK20UB3992,JK20,Maruti Suzuki,Baleno,Hatchback,Petrol,1197,2024,2025-07-29,2,699400
